 UPDATE  The latest version of `serve` is 14.2.1
 HTTP  11/21/2023 3:30:42 PM 192.160.20.1 GET /logo192.png
 HTTP  11/21/2023 3:30:42 PM 192.160.20.1 Returned 304 in 2 ms
 HTTP  11/21/2023 3:30:42 PM 192.160.20.1 GET /static/js/main.12bd9241.js
 HTTP  11/21/2023 3:30:42 PM 192.160.20.1 Returned 304 in 2 ms
 HTTP  11/21/2023 3:30:42 PM 192.160.20.1 GET /static/css/main.e1693de0.css
 HTTP  11/21/2023 3:30:42 PM 192.160.20.1 Returned 304 in 2 ms
 HTTP  11/21/2023 3:30:43 PM 192.160.20.1 GET /manifest.json
 HTTP  11/21/2023 3:30:43 PM 192.160.20.1 Returned 304 in 1 ms
 HTTP  11/21/2023 3:30:43 PM 192.160.20.1 GET /logo192.png
 HTTP  11/21/2023 3:30:43 PM 192.160.20.1 Returned 200 in 3 ms
 HTTP  11/21/2023 3:30:43 PM 192.160.20.1 GET /
 HTTP  11/21/2023 3:30:43 PM 192.160.20.1 Returned 304 in 2 ms
 HTTP  11/21/2023 3:30:43 PM 192.160.20.1 GET /static/js/main.12bd9241.js
 HTTP  11/21/2023 3:30:43 PM 192.160.20.1 Returned 304 in 1 ms
 HTTP  11/21/2023 3:30:43 PM 192.160.20.1 GET /static/css/main.e1693de0.css
 HTTP  11/21/2023 3:30:43 PM 192.160.20.1 Returned 304 in 1 ms
 HTTP  11/21/2023 3:30:43 PM 192.160.20.1 GET /manifest.json
 HTTP  11/21/2023 3:30:43 PM 192.160.20.1 Returned 304 in 1 ms
 HTTP  11/21/2023 3:30:43 PM 192.160.20.1 GET /favicon.ico
 HTTP  11/21/2023 3:30:43 PM 192.160.20.1 Returned 304 in 1 ms
 HTTP  11/21/2023 3:30:43 PM 192.160.20.1 GET /logo192.png
 HTTP  11/21/2023 3:30:43 PM 192.160.20.1 Returned 200 in 1 ms
 HTTP  11/21/2023 3:30:43 PM 192.160.20.1 GET /
 HTTP  11/21/2023 3:30:43 PM 192.160.20.1 Returned 304 in 1 ms
 HTTP  11/21/2023 3:30:43 PM 192.160.20.1 GET /static/css/main.e1693de0.css
 HTTP  11/21/2023 3:30:43 PM 192.160.20.1 Returned 304 in 1 ms
 HTTP  11/21/2023 3:30:43 PM 192.160.20.1 GET /static/js/main.12bd9241.js
 HTTP  11/21/2023 3:30:43 PM 192.160.20.1 Returned 304 in 1 ms
 HTTP  11/21/2023 3:30:43 PM 192.160.20.1 GET /favicon.ico
 HTTP  11/21/2023 3:30:43 PM 192.160.20.1 Returned 304 in 1 ms
 HTTP  11/21/2023 3:30:43 PM 192.160.20.1 GET /manifest.json
 HTTP  11/21/2023 3:30:43 PM 192.160.20.1 Returned 304 in 1 ms
 HTTP  11/21/2023 3:30:43 PM 192.160.20.1 GET /
 HTTP  11/21/2023 3:30:43 PM 192.160.20.1 Returned 304 in 1 ms
 HTTP  11/21/2023 3:30:43 PM 192.160.20.1 GET /logo192.png
 HTTP  11/21/2023 3:30:43 PM 192.160.20.1 Returned 304 in 1 ms
 HTTP  11/21/2023 3:30:43 PM 192.160.20.1 GET /static/css/main.e1693de0.css
 HTTP  11/21/2023 3:30:43 PM 192.160.20.1 Returned 304 in 1 ms
 HTTP  11/21/2023 3:30:43 PM 192.160.20.1 GET /static/js/main.12bd9241.js
 HTTP  11/21/2023 3:30:43 PM 192.160.20.1 Returned 304 in 1 ms
 HTTP  11/21/2023 3:30:43 PM 192.160.20.1 GET /manifest.json
 HTTP  11/21/2023 3:30:43 PM 192.160.20.1 Returned 304 in 1 ms
 HTTP  11/21/2023 3:30:43 PM 192.160.20.1 GET /
 HTTP  11/21/2023 3:30:43 PM 192.160.20.1 Returned 304 in 1 ms
 HTTP  11/21/2023 3:30:43 PM 192.160.20.1 GET /logo192.png
 HTTP  11/21/2023 3:30:43 PM 192.160.20.1 Returned 200 in 1 ms
 HTTP  11/21/2023 3:30:43 PM 192.160.20.1 GET /static/js/main.12bd9241.js
 HTTP  11/21/2023 3:30:43 PM 192.160.20.1 Returned 304 in 1 ms
 HTTP  11/21/2023 3:30:43 PM 192.160.20.1 GET /static/css/main.e1693de0.css
 HTTP  11/21/2023 3:30:43 PM 192.160.20.1 Returned 304 in 1 ms
 HTTP  11/21/2023 3:30:43 PM 192.160.20.1 GET /manifest.json
 HTTP  11/21/2023 3:30:43 PM 192.160.20.1 Returned 304 in 1 ms
 HTTP  11/21/2023 3:30:43 PM 192.160.20.1 GET /favicon.ico
 HTTP  11/21/2023 3:30:43 PM 192.160.20.1 Returned 304 in 1 ms
 HTTP  11/21/2023 3:30:43 PM 192.160.20.1 GET /logo192.png
 HTTP  11/21/2023 3:30:43 PM 192.160.20.1 Returned 200 in 2 ms
 HTTP  11/21/2023 3:30:43 PM 192.160.20.1 GET /
 HTTP  11/21/2023 3:30:43 PM 192.160.20.1 Returned 304 in 2 ms
 HTTP  11/21/2023 3:30:43 PM 192.160.20.1 GET /static/js/main.12bd9241.js
 HTTP  11/21/2023 3:30:43 PM 192.160.20.1 Returned 304 in 1 ms
 HTTP  11/21/2023 3:30:44 PM 192.160.20.1 GET /static/css/main.e1693de0.css
 HTTP  11/21/2023 3:30:44 PM 192.160.20.1 Returned 304 in 1 ms
 HTTP  11/21/2023 3:30:44 PM 192.160.20.1 GET /manifest.json
 HTTP  11/21/2023 3:30:44 PM 192.160.20.1 Returned 304 in 1 ms
 HTTP  11/21/2023 3:30:44 PM 192.160.20.1 GET /favicon.ico
 HTTP  11/21/2023 3:30:44 PM 192.160.20.1 Returned 304 in 2 ms
 HTTP  11/21/2023 3:30:44 PM 192.160.20.1 GET /logo192.png
 HTTP  11/21/2023 3:30:44 PM 192.160.20.1 Returned 304 in 1 ms
 HTTP  11/21/2023 3:30:44 PM 192.160.20.1 GET /
 HTTP  11/21/2023 3:30:44 PM 192.160.20.1 Returned 304 in 1 ms
 HTTP  11/21/2023 3:30:44 PM 192.160.20.1 GET /static/js/main.12bd9241.js
 HTTP  11/21/2023 3:30:44 PM 192.160.20.1 Returned 304 in 1 ms
 HTTP  11/21/2023 3:30:44 PM 192.160.20.1 GET /static/css/main.e1693de0.css
 HTTP  11/21/2023 3:30:44 PM 192.160.20.1 Returned 304 in 1 ms
 HTTP  11/21/2023 3:30:44 PM 192.160.20.1 GET /manifest.json
 HTTP  11/21/2023 3:30:44 PM 192.160.20.1 Returned 304 in 1 ms
 HTTP  11/21/2023 3:30:44 PM 192.160.20.1 GET /favicon.ico
 HTTP  11/21/2023 3:30:44 PM 192.160.20.1 Returned 304 in 1 ms
 HTTP  11/21/2023 3:30:44 PM 192.160.20.1 GET /logo192.png
 HTTP  11/21/2023 3:30:44 PM 192.160.20.1 Returned 304 in 1 ms

 INFO  Gracefully shutting down. Please wait...
